,participant_id,frame_id,timestamp,action,JOINT_NONE,JOINT_HEAD,JOINT_NECK,JOINT_TORSO,JOINT_WAIST,JOINT_LEFT_COLLAR,JOINT_LEFT_SHOULDER,JOINT_LEFT_ELBOW,JOINT_LEFT_WRIST,JOINT_LEFT_HAND,JOINT_RIGHT_COLLAR,JOINT_RIGHT_SHOULDER,JOINT_RIGHT_ELBOW,JOINT_RIGHT_WRIST,JOINT_RIGHT_HAND,JOINT_LEFT_HIP,JOINT_LEFT_KNEE,JOINT_LEFT_ANKLE,JOINT_RIGHT_HIP,JOINT_RIGHT_KNEE,JOINT_RIGHT_ANKLE
0,7,988,1649864379193981885,teacup,[ 0. -0.  0.],[2.05204175 0.03567917 0.48017999],[2.05911987 0.01959353 0.35566376],[2.14606738 0.00942154 0.00364511],[ 2.13555151  0.00722348 -0.21713809],[2.08100757 0.01703289 0.26704834],[ 2.07203711 -0.15665509  0.25943613],[ 2.1237832  -0.22049249 -0.01895972],[ 2.02404468 -0.22141765 -0.30307462],[ 2.00409692 -0.22160268 -0.35989758],[2.08100757 0.01703289 0.26704834],[2.10791895 0.18488924 0.25180722],[ 2.13077979  0.24458162 -0.0313382 ],[ 2.04473523  0.21117775 -0.31795709],[ 2.02752637  0.20449698 -0.37528088],[ 2.14776367 -0.11616241 -0.27397351],[ 2.10291846 -0.06548799 -0.72167566],[ 2.10291846 -0.06548799 -1.14780237],[ 2.16358301  0.12476304 -0.28054398],[ 2.11146899  0.08312337 -0.72839038],[ 2.11146899  0.08312337 -1.15451709]
0,7,989,1649864379194364070,teacup,[ 0. -0.  0.],[2.05077466 0.03573027 0.48041226],[2.05704248 0.01982396 0.35563452],[2.1456543  0.00944698 0.00384094],[ 2.13549561  0.0070222  -0.2169838 ],[2.07933765 0.01721305 0.26712115],[ 2.07199854 -0.15613797  0.25917389],[ 2.1239375  -0.2201561  -0.01968074],[ 2.02661072 -0.2235957  -0.30440857],[ 2.00714539 -0.22428363 -0.36135413],[2.07933765 0.01721305 0.26712115],[2.10794067 0.1846179  0.25198473],[ 2.12996582  0.24409607 -0.03179885],[ 2.04397644  0.2116606  -0.31834384],[ 2.02677856  0.20517351 -0.37565283],[ 2.14761108 -0.11645059 -0.2732634 ],[ 2.08949023 -0.06628954 -0.71958185],[ 2.08949023 -0.06628954 -1.14571338],[ 2.16302686  0.12476817 -0.2798779 ],[ 2.11135962  0.0824259  -0.72779761],[ 2.11135962  0.0824259  -1.1539292 ]
0,7,990,1649864379201115846,teacup,[ 0. -0.  0.],[2.05004956 0.03575142 0.48049518],[2.05580957 0.01993804 0.35561829],[2.14528784 0.00946408 0.003923  ],[ 2.135302    0.00699312 -0.21691884],[2.07831543 0.01730359 0.26715854],[ 2.07170703 -0.15583832  0.25885052],[ 2.12418433 -0.22050816 -0.02018413],[ 2.0262511  -0.22675153 -0.30349557],[ 2.00666443 -0.2280002  -0.36015787],[2.07831543 0.01730359 0.26715854],[2.10699756 0.18469429 0.25193988],[ 2.12995435  0.24377336 -0.03227671],[ 2.04349438  0.21213666 -0.31761688],[ 2.02620239  0.20580931 -0.37468491],[ 2.14745996 -0.11661156 -0.27257108],[ 2.07643066 -0.06694392 -0.71710486],[ 2.07643066 -0.06694392 -1.14323828],[ 2.16265576  0.12492584 -0.27925   ],[ 2.11065674  0.08079256 -0.7269895 ],[ 2.11065674  0.08079256 -1.15312292]
0,7,991,1649864379201521635,teacup,[ 0. -0.  0.],[2.04909253 0.03576883 0.48055304],[2.05453784 0.02005252 0.35560168],[2.14490259 0.00948421 0.0040206 ],[ 2.13505273  0.00698454 -0.21683485],[2.07725977 0.01739514 0.26719751],[ 2.07172534 -0.15572441  0.25890585],[ 2.12508325 -0.22240884 -0.02003119],[ 2.02571936 -0.23689484 -0.30081897],[ 2.00584656 -0.23979204 -0.35697653],[2.07725977 0.01739514 0.26719751],[2.1061167  0.18476059 0.25190077],[ 2.13001758  0.24371791 -0.03279642],[ 2.0427793   0.21247328 -0.31623608],[ 2.02533167  0.20622435 -0.37292401],[ 2.14727319 -0.1167264  -0.27185153],[ 2.07334277 -0.066064   -0.71582495],[ 2.07334277 -0.066064   -1.14195996],[ 2.16223438  0.12523652 -0.27827948],[ 2.10959033  0.07973057 -0.7258313 ],[ 2.10959033  0.07973057 -1.15196631]
0,7,992,1649864379201910734,teacup,[ 0. -0.  0.],[2.04722192 0.0358005  0.48064093],[2.05195703 0.02028719 0.35557391],[2.14386353 0.00952848 0.00421982],[ 2.13387793  0.00698184 -0.21664049],[2.07505591 0.01758321 0.26726828],[ 2.07184497 -0.1555932   0.2592142 ],[ 2.13788477 -0.25149702 -0.01268433],[ 2.02079346 -0.26072107 -0.28477539],[ 1.99737524 -0.26256589 -0.3391936 ],[2.07505591 0.01758321 0.26726828],[2.10432104 0.184922   0.25180481],[ 2.1305957   0.24467212 -0.03668643],[ 2.04239124  0.21359111 -0.31790338],[ 2.02475037  0.20737491 -0.37414676],[ 2.14573828 -0.11720078 -0.26926166],[ 2.06082324 -0.06921027 -0.71160052],[ 2.06082324 -0.06921027 -1.13773816],[ 2.1610625   0.1262514  -0.27476416],[ 2.11242383  0.08208372 -0.72293909],[ 2.11242383  0.08208372 -1.14907666]
0,7,993,1649864379206063032,teacup,[ 0. -0.  0.],[2.04620947 0.03580651 0.48060645],[2.05051855 0.02039934 0.35547852],[2.14326782 0.00955081 0.00427805],[ 2.13315991  0.00698128 -0.2165806 ],[2.07382495 0.01767329 0.26722787],[ 2.07178271 -0.15562247  0.25933194],[ 2.14135937 -0.26504056 -0.0097304 ],[ 2.01086646 -0.26026303 -0.27311322],[ 1.98476782 -0.25930753 -0.32578979],[2.07382495 0.01767329 0.26722787],[2.10310522 0.18513615 0.25166898],[ 2.13003979  0.24543004 -0.03961603],[ 2.04541467  0.21413658 -0.3194035 ],[ 2.02848962  0.20787788 -0.37536099],[ 2.14458838 -0.11813345 -0.26537338],[ 2.06788525 -0.06184    -0.7082467 ],[ 2.06788525 -0.06184    -1.1343855 ],[ 2.1606897   0.12728686 -0.27084048],[ 2.11206104  0.08203184 -0.71892114],[ 2.11206104  0.08203184 -1.14505981]
0,7,994,1649864379206573009,teacup,[ 0. -0.  0.],[2.04521814 0.03582048 0.48057507],[2.04901611 0.02054043 0.3553833 ],[2.14263477 0.00957948 0.00435678],[ 2.1319209   0.00700466 -0.21647662],[2.07253711 0.01778657 0.26719028],[ 2.07171631 -0.15571355  0.25950211],[ 2.14646973 -0.2716879  -0.00793386],[ 2.0099696 -0.2607312 -0.2647691],[ 1.98266956 -0.25853986 -0.31613614],[2.07253711 0.01778657 0.26719028],[2.10184082 0.18553307 0.25164824],[ 2.13046313  0.24668039 -0.04161257],[ 2.04738574  0.21513876 -0.31877667],[ 2.03077026  0.20883044 -0.3742095 ],[ 2.14269849 -0.11857261 -0.26211887],[ 2.07191943 -0.067469   -0.7066156 ],[ 2.07191943 -0.067469   -1.13275537],[ 2.15967505  0.12786739 -0.26746518],[ 2.11007275  0.08199263 -0.71538678],[ 2.11007275  0.08199263 -1.14152649]
0,7,995,1649864379207054853,teacup,[ 0. -0.  0.],[2.04092969 0.03735671 0.4804386 ],[2.0457251  0.02090672 0.35535834],[2.14098413 0.01093272 0.00489319],[ 2.12942969  0.01001727 -0.21591603],[2.06966797 0.01839982 0.26727109],[ 2.07136987 -0.15638791  0.26055701],[ 2.14789233e+00 -2.83161621e-01 -1.95336878e-03],[ 2.00177905 -0.25866913 -0.24648997],[ 1.9725564  -0.25377063 -0.29539731],[2.06966797 0.01839982 0.26727109],[2.10002368 0.18694592 0.25259167],[ 2.13043896  0.24920877 -0.04072945],[ 2.0490332   0.21622058 -0.31281766],[ 2.03275208  0.20962294 -0.36723529],[ 2.13827637 -0.11488929 -0.2578078 ],[ 2.07481567 -0.07212508 -0.69574481],[ 2.07481567 -0.07212508 -1.12188635],[ 2.15971021  0.12931122 -0.26378864],[ 2.10782935  0.08115265 -0.70268951],[ 2.10782935  0.08115265 -1.12883105]
0,7,996,1649864379214231729,teacup,[ 0. -0.  0.],[2.03771228 0.03876745 0.48025403],[2.044802   0.02107314 0.355358  ],[2.13988989 0.01240605 0.00520627],[ 2.12806274  0.01416812 -0.21558531],[2.06872681 0.01889243 0.26725702],[ 2.07090479 -0.1578777   0.26207837],[ 2.14938525 -0.28887811  0.00376233],[ 1.99648499 -0.25729626 -0.23357326],[ 1.96590491 -0.25097989 -0.28104037],[2.06872681 0.01889243 0.26725702],[2.09937183 0.18869221 0.25371237],[ 2.13035376  0.25101305 -0.03818437],[ 2.05070703  0.21670575 -0.3087088 ],[ 2.03477771  0.20984428 -0.36281369],[ 2.13805176 -0.10970517 -0.2568772 ],[ 2.07758936 -0.06869833 -0.6971214 ],[ 2.07758936 -0.06869833 -1.12326379],[ 2.16008105  0.13133994 -0.26414313],[ 2.10473682  0.07905239 -0.70386493],[ 2.10473682  0.07905239 -1.13000732]
0,7,997,1649864379214636087,teacup,[ 0. -0.  0.],[2.03256372 0.0402099  0.47995264],[2.04356409 0.02126413 0.3553573 ],[2.13863916 0.01385585 0.00576596],[ 2.12652856  0.01731917 -0.21499171],[2.06752344 0.0193972  0.26725833],[ 2.07032373 -0.16016022  0.26422418],[ 2.14730762 -0.29141724  0.00743502],[ 2.00321716 -0.24954074 -0.23206201],[ 1.97439905 -0.24116544 -0.27996143],[2.06752344 0.0193972  0.26725833],[2.09939062 0.18992287 0.25350577],[ 2.13025977  0.254549   -0.03626337],[ 2.05279199  0.21765028 -0.30554352],[ 2.03729846  0.21027054 -0.35939954],[ 2.13713135 -0.10553548 -0.25515483],[ 2.08246069 -0.07004275 -0.69800214],[ 2.08246069 -0.07004275 -1.12414539],[ 2.16005103  0.13230127 -0.26327386],[ 2.10128711  0.07830723 -0.70372113],[ 2.10128711  0.07830723 -1.12986438]
0,7,998,1649864379222618341,teacup,[ 0. -0.  0.],[2.02702673 0.04291721 0.47970062],[2.04119971 0.02166328 0.35535693],[2.13555737 0.01698245 0.00674838],[ 2.12382813  0.02078108 -0.21402698],[2.06505615 0.02047982 0.26721783],[ 2.07088989 -0.16032928  0.26222632],[ 2.14198706 -0.29501056  0.00595135],[ 2.01065356 -0.19828445 -0.22226636],[ 1.98438684 -0.17893924 -0.26790991],[2.06505615 0.02047982 0.26721783],[2.09931934 0.19161882 0.2533112 ],[ 2.12981177  0.25966171 -0.03532545],[ 2.05256592  0.21818208 -0.30178427],[ 2.0371167   0.20988615 -0.35507605],[ 2.13407129 -0.10169279 -0.25539307],[ 2.09228613 -0.06814722 -0.70175677],[ 2.09228613 -0.06814722 -1.12790173],[ 2.15931104  0.13487021 -0.26292493],[ 2.09415479  0.07819211 -0.70412134],[ 2.09415479  0.07819211 -1.13026636]
0,7,999,1649864379223198413,teacup,[ 0. -0.  0.],[2.02535303 0.04558587 0.47977844],[2.03874719 0.02205772 0.35535718],[2.13213916 0.01783407 0.00755249],[ 2.12143359  0.02114844 -0.21328465],[2.06242749 0.02098678 0.2671687 ],[ 2.05411597 -0.16261501  0.26142938],[ 2.14050781 -0.30082489  0.00947688],[ 1.9855675  -0.18935271 -0.19746544],[ 1.95457947 -0.16705827 -0.23885391],[2.06242749 0.02098678 0.2671687 ],[2.09978271 0.19179263 0.25226796],[ 2.127927    0.25910583 -0.03880315],[ 2.04893774  0.21616179 -0.30558807],[ 2.03313989  0.20757298 -0.35894507],[ 2.13412866 -0.1017016  -0.25536627],[ 2.10578247 -0.06999539 -0.70695856],[ 2.10578247 -0.06999539 -1.13310522],[ 2.15901953  0.13553738 -0.26250446],[ 2.10111377  0.0785055  -0.70875403],[ 2.10111377  0.0785055  -1.13490076]
0,7,1000,1649864379233929634,teacup,[ 0. -0.  0.],[2.02525452 0.04701637 0.47982587],[2.03769177 0.02233441 0.3553573 ],[2.13027612 0.01791414 0.00781003],[ 2.12021582  0.02114805 -0.21305951],[2.06119702 0.0212122  0.26712247],[ 2.05284302 -0.16234286  0.2607626 ],[ 2.14001563 -0.30730103  0.0100758 ],[ 1.99634814 -0.18834172 -0.20454211],[ 1.96761462 -0.16454987 -0.2474657 ],[2.06119702 0.0212122  0.26712247],[2.09956665 0.19230688 0.2525746 ],[ 2.12861548  0.26005463 -0.04072087],[ 2.04808374  0.21573651 -0.3097991 ],[ 2.03197742  0.20687289 -0.36361475],[ 2.13404395 -0.10181041 -0.25552357],[ 2.10005737 -0.06840375 -0.70720593],[ 2.10005737 -0.06840375 -1.13335352],[ 2.15909351  0.13546042 -0.26252658],[ 2.10469849  0.07846715 -0.70983081],[ 2.10469849  0.07846715 -1.13597839]
0,7,1001,1649864379234389781,teacup,[ 0. -0.  0.],[2.02504993 0.04875919 0.47998941],[2.03606226 0.02290474 0.35535748],[2.12882031 0.01798961 0.00853741],[ 2.11956274  0.02111102 -0.21237033],[2.0596543  0.02165462 0.26714716],[ 2.05385181 -0.16105557  0.25966699],[ 2.13890112 -0.32454678  0.01087252],[ 1.99813452 -0.17866379 -0.19122778],[ 1.9699812  -0.14948718 -0.23164784],[2.0596543  0.02165462 0.26714716],[2.09952612 0.19234137 0.25250769],[ 2.1286731   0.26313062 -0.04749362],[ 2.04849731  0.21606328 -0.31822992],[ 2.03246216  0.20664981 -0.37237717],[ 2.13389722 -0.10214683 -0.25605945],[ 2.09466821 -0.06488368 -0.70659796],[ 2.3822334   0.19747699 -0.88002423],[ 2.15905591  0.13585678 -0.26268478],[ 2.10511353  0.07865377 -0.70959686],[ 2.10511353  0.07865377 -1.13574634]
0,7,1002,1649864379234841823,teacup,[ 0. -0.  0.],[2.024948   0.04891684 0.48010385],[2.03576489 0.02317993 0.35535751],[2.12856543 0.01801614 0.00877432],[ 2.11950342  0.02109403 -0.21214284],[2.05938208 0.02186578 0.2671546 ],[ 2.05358911 -0.1623954   0.26179584],[ 2.13859204 -0.32880933  0.01034285],[ 1.99473437 -0.18285887 -0.19097801],[ 1.96596289 -0.15366878 -0.23124219],[2.05938208 0.02186578 0.2671546 ],[2.09969043 0.19284648 0.25222418],[ 2.12932202  0.26532236 -0.05111869],[ 2.04693347  0.21525    -0.3217319 ],[ 2.03045581  0.20523553 -0.37585455],[ 2.13357104 -0.10231583 -0.25635223],[ 2.09093066 -0.06309924 -0.70626672],[ 2.37317822  0.1957249  -0.89321716],[ 2.15868457  0.13619287 -0.2627966 ],[ 2.10609912  0.07969044 -0.70981049],[ 2.10609912  0.07969044 -1.13596082]
0,7,1003,1649864379240954875,teacup,[ 0. -0.  0.],[2.02462109 0.04913458 0.48024353],[2.03548486 0.02380634 0.3553576 ],[2.12830591 0.01807035 0.00907578],[ 2.11949951  0.02106686 -0.21185419],[2.05912549 0.02234544 0.26716287],[ 2.05376196 -0.16190852  0.26086322],[ 2.14077808 -0.3310365   0.00531601],[ 2.00110828 -0.17568657 -0.18903101],[ 1.97317432 -0.14461658 -0.22790041],[2.05912549 0.02234544 0.26716287],[2.09996362 0.19370045 0.25176352],[ 2.1319668   0.26963397 -0.05595441],[ 2.04599426  0.21555844 -0.3225939 ],[ 2.0287998   0.20474333 -0.37592181],[ 2.13381152 -0.10233353 -0.25730167],[ 2.08913379 -0.062071   -0.70187012],[ 2.37616943  0.05149991 -0.99566919],[ 2.15869336  0.13662349 -0.2628215 ],[ 2.10601172  0.07946095 -0.70465344],[ 2.10601172  0.07946095 -1.13080579]
0,7,1004,1649864379241426229,teacup,[ 0. -0.  0.],[2.02443311 0.04916562 0.48028546],[2.03547388 0.0241293  0.35535767],[2.12822412 0.01809638 0.00915689],[ 2.11950073  0.02105838 -0.21177747],[2.05910254 0.02259237 0.2671608 ],[ 2.05383276 -0.16151184  0.26045807],[ 2.14110718 -0.33232199  0.00365073],[ 1.98824426 -0.17389331 -0.17723735],[ 1.95767163 -0.14220758 -0.21341496],[2.05910254 0.02259237 0.2671608 ],[2.10018066 0.1939968  0.25160959],[ 2.13311133  0.27157266 -0.05764841],[ 2.04461279  0.21481369 -0.32247589],[ 2.02691309  0.2034619  -0.37544138],[ 2.13383472 -0.10229964 -0.25758923],[ 2.09101147 -0.06147173 -0.70016736],[ 2.35850244 -0.02778905 -1.03019873],[ 2.15851514  0.13683627 -0.26266156],[ 2.10863306  0.08250446 -0.70304309],[ 2.10863306  0.08250446 -1.12919653]
