,participant_id,frame_id,timestamp,action,JOINT_NONE,JOINT_HEAD,JOINT_NECK,JOINT_TORSO,JOINT_WAIST,JOINT_LEFT_COLLAR,JOINT_LEFT_SHOULDER,JOINT_LEFT_ELBOW,JOINT_LEFT_WRIST,JOINT_LEFT_HAND,JOINT_RIGHT_COLLAR,JOINT_RIGHT_SHOULDER,JOINT_RIGHT_ELBOW,JOINT_RIGHT_WRIST,JOINT_RIGHT_HAND,JOINT_LEFT_HIP,JOINT_LEFT_KNEE,JOINT_LEFT_ANKLE,JOINT_RIGHT_HIP,JOINT_RIGHT_KNEE,JOINT_RIGHT_ANKLE
0,7,1005,1649864379241855382,teacup,[ 0. -0.  0.],[2.02421375 0.04917384 0.48031992],[2.03547253 0.02443915 0.35535776],[2.1282041  0.01812083 0.00923438],[ 2.11949976  0.02105502 -0.21170175],[2.05910156 0.02282918 0.26716199],[ 2.05388696 -0.16112581  0.26022296],[ 2.14155884 -0.33331693  0.00270854],[ 1.97181934 -0.18311369 -0.16725438],[ 1.93787146 -0.15307304 -0.20124696],[2.05910156 0.02282918 0.26716199],[2.10036157 0.1942112  0.25147839],[ 2.13412915  0.27296457 -0.05885609],[ 2.04360669  0.21425092 -0.32080688],[ 2.0255022   0.20250818 -0.37319705],[ 2.13383643 -0.10221996 -0.25769171],[ 2.08424902 -0.06141821 -0.7008855 ],[ 2.30420947 -0.03603343 -1.06500134],[ 2.1583147   0.13696992 -0.26240427],[ 2.10652637  0.08132381 -0.70372717],[ 2.10652637  0.08132381 -1.12988171]
0,7,1006,1649864379249109745,teacup,[ 0. -0.  0.],[2.02379443 0.04920018 0.48033124],[2.03546729 0.02503986 0.35535794],[2.12817236 0.0181677  0.00935495],[ 2.11949463  0.02105354 -0.21158417],[2.05909717 0.0232882  0.26716458],[ 2.05143115 -0.15999536  0.25947073],[ 2.14270752 -0.33696481  0.0049891 ],[ 1.97921912 -0.1715018  -0.15788029],[ 1.94652148 -0.13840919 -0.19045418],[2.05909717 0.0232882  0.26716458],[2.1006543  0.19427911 0.25145432],[ 2.13444507  0.27353784 -0.05997255],[ 2.04376245  0.2150665  -0.32263339],[ 2.02562598  0.20337222 -0.37516556],[ 2.13273242 -0.102021   -0.25786237],[ 2.0811897  -0.06180592 -0.69621271],[ 2.39127441  0.12216709 -0.92339331],[ 2.15782837  0.13719998 -0.26160846],[ 2.11031421  0.09430604 -0.7001601 ],[ 2.11031421  0.09430604 -1.12631689]
0,7,1007,1649864379249566555,teacup,[ 0. -0.  0.],[2.02352905 0.0492081  0.48030869],[2.03546729 0.02532163 0.35535803],[2.12816577 0.01818958 0.00940323],[ 2.11949438  0.02105445 -0.21153706],[2.05909839 0.02350351 0.26716608],[ 2.05158276 -0.16016754  0.26034946],[ 2.14375342 -0.33986984  0.01069554],[ 1.98465027 -0.1678839  -0.1508741 ],[ 1.95282959 -0.13348671 -0.18318803],[2.05909839 0.02350351 0.26716608],[2.10082666 0.19445102 0.25135809],[ 2.13446436  0.27339441 -0.05807995],[ 2.04459216  0.21556841 -0.32185428],[ 2.02661768  0.2040032  -0.37460913],[ 2.13277563 -0.10175371 -0.25802191],[ 2.07748584 -0.06208863 -0.69404376],[ 2.33304639  0.14233528 -0.96700952],[ 2.15753979  0.13724719 -0.26122516],[ 2.11028979  0.09113174 -0.69755768],[ 2.11028979  0.09113174 -1.12371582]
0,7,1008,1649864379250003099,teacup,[ 0. -0.  0.],[2.02315259 0.04920992 0.48024994],[2.03546729 0.02548653 0.35535809],[2.12816138 0.01820257 0.00944333],[ 2.11949414  0.02105563 -0.21149796],[2.05909961 0.02362948 0.26716705],[ 2.05223804 -0.16088164  0.26155667],[ 2.14242407 -0.33868723  0.01324844],[ 1.98943958 -0.15459009 -0.14774496],[ 1.95884265 -0.11777066 -0.17994365],[2.05909961 0.02362948 0.26716705],[2.10103394 0.19477003 0.25116034],[ 2.13416748  0.27301346 -0.05573611],[ 2.04384277  0.21604807 -0.3237124 ],[ 2.02577783  0.20465498 -0.37730765],[ 2.13280322 -0.10140416 -0.2582616 ],[ 2.08114673 -0.0623441  -0.69371381],[ 2.36925879  0.13385895 -0.93888208],[ 2.15727148  0.13721568 -0.26087817],[ 2.11095312  0.09708668 -0.69683337],[ 2.11095312  0.09708668 -1.12299268]
0,7,1009,1649864379250428915,teacup,[ 0. -0.  0.],[2.02228613 0.04920588 0.48009796],[2.03546729 0.0256729  0.35535834],[2.12816016 0.01821731 0.00951285],[ 2.11948828  0.02106021 -0.21142982],[2.05910376 0.02377175 0.26716873],[ 2.05218726 -0.16205702  0.26311349],[ 2.13804224 -0.33404333  0.01534813],[ 1.98190234 -0.16350497 -0.15980823],[ 1.95067432 -0.12939731 -0.19483951],[2.05910376 0.02377175 0.26716873],[2.10136963 0.19527962 0.25085178],[ 2.13373389  0.27186041 -0.05151558],[ 2.04512939  0.2219483  -0.3231785 ],[ 2.02740845  0.21196588 -0.37751108],[ 2.13281763 -0.10073451 -0.2582951 ],[ 2.09227661 -0.06227898 -0.69295917],[ 2.41985205  0.14441995 -0.87067773],[ 2.15669849  0.13742622 -0.25918381],[ 2.11208911  0.09096358 -0.69266553],[ 2.11208911  0.09096358 -1.11882751]
0,7,1010,1649864379255454301,teacup,[ 0. -0.  0.],[2.02146533 0.04875983 0.48002383],[2.03546729 0.02595226 0.35535861],[2.12912598 0.01818617 0.00994427],[ 2.12080371  0.02106804 -0.21101283],[2.0593606  0.02397104 0.26723944],[ 2.05496313 -0.1628604   0.26497989],[ 2.13731714 -0.32759576  0.01507985],[ 1.99498145 -0.16702466 -0.17475967],[ 1.96651428 -0.13491043 -0.21272758],[2.0593606  0.02397104 0.26723944],[2.10147437 0.19595313 0.25075757],[ 2.13386719  0.27217355 -0.04842656],[ 2.04290637  0.21780925 -0.31460739],[ 2.02471423  0.20693639 -0.36784357],[ 2.1330437  -0.09950493 -0.25865115],[ 2.09362842 -0.06164014 -0.69587878],[ 2.37733447  0.13933994 -0.94232202],[ 2.1563562   0.13704236 -0.25832343],[ 2.10588184  0.09414358 -0.69394635],[ 2.10588184  0.09414358 -1.12011108]
0,7,1011,1649864379255816221,teacup,[ 0. -0.  0.],[2.02109424 0.04823969 0.48003333],[2.03546729 0.02612892 0.35535895],[2.13033936 0.01815458 0.01050278],[ 2.12226416  0.02108048 -0.2104637 ],[2.05968481 0.02409335 0.26732919],[ 2.05842627 -0.16303328  0.26621887],[ 2.13697241 -0.32641644  0.01491591],[ 1.98640088 -0.16603857 -0.17115527],[ 1.95628662 -0.133963   -0.20836951],[2.05968481 0.02409335 0.26732919],[2.10162402 0.19630304 0.25086279],[ 2.13422314  0.27288635 -0.04761503],[ 2.04519849  0.21873772 -0.31623721],[ 2.02739355  0.20790799 -0.36996164],[ 2.13313794 -0.0986389  -0.25879016],[ 2.09374463 -0.06093546 -0.69853882],[ 2.34485962  0.11749076 -0.99302637],[ 2.15640454  0.1367229  -0.25781689],[ 2.09517139  0.09150586 -0.69434668],[ 2.09517139  0.09150586 -1.12051294]
0,7,1012,1649864379256166696,teacup,[ 0. -0.  0.],[2.020828   0.04772224 0.48004401],[2.03546729 0.02631067 0.35535925],[2.13148462 0.01818226 0.01111057],[ 2.12366943  0.02109201 -0.20986629],[2.05999609 0.02423416 0.26741635],[ 2.0609917  -0.16273398  0.26625888],[ 2.13681006 -0.32540314  0.01391873],[ 2.00185046 -0.15853482 -0.17490504],[ 1.97485852 -0.12516116 -0.2126698 ],[2.05999609 0.02423416 0.26741635],[2.10176953 0.19669041 0.25094179],[ 2.13471558  0.2736228  -0.0471877 ],[ 2.04818994  0.22017494 -0.31433969],[ 2.03088477  0.20948537 -0.36777008],[ 2.1331189  -0.09801432 -0.25848224],[ 2.09382886 -0.06065476 -0.7002738 ],[ 2.3160957   0.13552524 -1.00642725],[ 2.1565957   0.13634184 -0.25746243],[ 2.10812646  0.09372479 -0.69786432],[ 2.10812646  0.09372479 -1.12403223]
0,7,1013,1649864379266762733,teacup,[ 0. -0.  0.],[2.01981372 0.0463166  0.47994409],[2.03546729 0.02656563 0.35535986],[2.13365991 0.01802533 0.01216385],[ 2.12669092  0.02069234 -0.20884612],[2.06058105 0.02438136 0.26758405],[ 2.07251294 -0.16254431  0.26878363],[ 2.13743481 -0.32442957  0.01507282],[ 1.99842346 -0.15877118 -0.16683528],[ 1.97062122 -0.1256395  -0.2032169 ],[2.06058105 0.02438136 0.26758405],[2.10099805 0.19697063 0.24906659],[ 2.1356665   0.27326929 -0.04718911],[ 2.05097363  0.22028101 -0.31153128],[ 2.03403503  0.20968335 -0.36439972],[ 2.13494019 -0.0977542  -0.25848553],[ 2.09514722 -0.06083908 -0.6967854 ],[ 2.36937109  0.13659027 -0.95648682],[ 2.15756226  0.13565816 -0.25768057],[ 2.10360449  0.09483031 -0.69411462],[ 2.10360449  0.09483031 -1.12028589]
0,7,1014,1649864379267302989,teacup,[ 0. -0.  0.],[2.01962537 0.0458859  0.47980759],[2.03546729 0.02663857 0.35536069],[2.13444092 0.01799097 0.01252951],[ 2.1274375   0.02053214 -0.2084818 ],[2.06079028 0.02442603 0.26764532],[ 2.0721709  -0.16226614  0.26727283],[ 2.13852832 -0.32451694  0.01467922],[ 1.99245508 -0.15780905 -0.16757375],[ 1.96324048 -0.12446747 -0.20402434],[2.06079028 0.02442603 0.26764532],[2.10136035 0.19745352 0.24919099],[ 2.13612451  0.27270453 -0.04688479],[ 2.0468717   0.21664597 -0.31378641],[ 2.02902112  0.20543425 -0.36716672],[ 2.13600171 -0.09770552 -0.25839291],[ 2.09294873 -0.05899876 -0.69853394],[ 2.41084473  0.14449498 -0.89641174],[ 2.15814819  0.1353838  -0.25752615],[ 2.10429224  0.09462591 -0.69629071],[ 2.10429224  0.09462591 -1.12246362]
0,7,1015,1649864379267897844,teacup,[ 0. -0.  0.],[2.0194657  0.04548505 0.47965405],[2.03546729 0.02667395 0.35536157],[2.13537964 0.0179489  0.01288461],[ 2.12821387  0.0203655  -0.20812383],[2.06103613 0.0244411  0.26771765],[ 2.06250073 -0.1639317   0.26669382],[ 2.14122144 -0.3236066   0.01560317],[ 1.97720752 -0.17595844 -0.16462276],[ 1.94440479 -0.1464288  -0.20066794],[2.06103613 0.0244411  0.26771765],[2.10172681 0.19764435 0.24905025],[ 2.13665918  0.27222168 -0.04752597],[ 2.04777856  0.21619046 -0.31237061],[ 2.03000244  0.20498422 -0.36533954],[ 2.13709229 -0.09769901 -0.25834027],[ 2.09597266 -0.06173516 -0.69647888],[ 2.4597627   0.15806876 -0.72759216],[ 2.15867261  0.13518658 -0.2573638 ],[ 2.10479272  0.09491187 -0.69374048],[ 2.10479272  0.09491187 -1.11991528]
